time,latitude,longitude,depth,magnitude,place
2024-01-22 20:29:31.005,41.255,78.7239,10.0,,"123 km WNW of Aykol, China"
2024-01-22 20:08:46.558,41.1415,78.6075,,4.1,"130 km W of Aykol, China"
2024-01-22 19:59:53.368,41.216,78.6498,10.0,4.2,"128 km WNW of Aykol, China"
2024-01-22 19:40:36.529,41.2429,78.6727,10.0,4.7,"126 km WNW of Aykol, China"
2024-01-22 19:36:47.834,41.2085,78.6438,10.0,5.5,"128 km WNW of Aykol, China"
2024-01-22 19:31:49.102,41.2543,78.6301,10.0,4.3,"130 km WNW of Aykol, China"
2024-01-22 19:21:10.621,41.1729,78.5641,10.0,4.3,"134 km W of Aykol, China"
2024-01-22 19:20:20.794,41.1798,78.6301,10.0,4.4,"128 km W of Aykol, China"
2024-01-22 19:17:10.555,41.3479,78.8597,10.0,4.2,"115 km WNW of Aykol, China"
2024-01-22 18:50:43.143,41.3654,78.7512,10.0,4.8,"124 km WNW of Aykol, China"
2024-01-22 18:49:28.763,41.1949,78.6566,10.0,4.3,"127 km WNW of Aykol, China"
2024-01-22 18:42:33.209,41.3408,78.7444,10.0,,"124 km WNW of Aykol, China"
2024-01-22 18:39:02.968,41.247,78.6748,10.0,4.6,"126 km WNW of Aykol, China"
2024-01-22 18:36:31.436,41.3356,78.8085,10.0,4.4,"119 km WNW of Aykol, China"
2024-01-22 18:32:41.383,41.1517,78.5204,10.0,5.0,"137 km W of Aykol, China"
2024-01-22 18:30:08.823,41.1614,78.6242,,4.7,"129 km W of Aykol, China"
2024-01-22 18:29:23.210,41.1935,78.678,10.0,4.9,"125 km WNW of Aykol, China"
2024-01-22 18:27:22.563,41.1176,78.569,10.0,4.6,"132 km W of Aykol, China"
2024-01-22 18:17:07.591,41.2209,78.5081,10.0,5.3,"131 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-22 18:14:16.160,41.2703,78.6211,,5.8,"129 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-22 18:09:04.340,41.2555,78.6538,13.0,7.0,"128 km WNW of Aykol, China"
2024-01-15 18:23:26.907,37.3217,72.1365,,4.0,"44 km NNW of Khandūd, Afghanistan"
2024-01-03 19:42:11.944,38.237,74.0407,163.138,4.0,"9 km NE of Murghob, Tajikistan"
2023-12-27 09:00:05.608,38.6772,73.6254,102.533,4.2,"63 km NNW of Murghob, Tajikistan"
2023-12-19 01:46:21.061,39.9543,77.8492,10.0,5.2,"104 km W of Tumxuk, China"
2023-12-14 07:59:53.158,40.1487,71.5187,10.0,4.1,"12 km SW of Khalmion, Kyrgyzstan"
2023-12-08 23:30:14.549,37.4934,72.2049,198.73,4.5,"57 km E of Khorugh, Tajikistan"
2023-11-29 10:59:37.488,38.423,73.8447,128.307,4.4,"30 km NNW of Murghob, Tajikistan"
2023-11-23 11:09:53.597,38.867,71.8084,10.0,4.6,"47 km SSE of Karakenja, Tajikistan"
2023-11-23 10:01:50.694,38.8437,71.8083,10.0,4.9,"50 km SSE of Karakenja, Tajikistan"
2023-11-14 21:42:29.939,37.4826,72.1751,190.997,4.2,"55 km E of Khorugh, Tajikistan"
2023-11-14 07:38:45.677,37.2131,75.1448,10.0,4.3,"106 km NNE of Barishal, Pakistan"
2023-11-13 12:16:38.206,38.5216,72.2855,25.58,5.3,"103 km SE of Karakenja, Tajikistan"
2023-11-12 19:54:28.211,39.1273,71.0829,14.396,4.4,"39 km WSW of Karakenja, Tajikistan"
2023-11-07 19:46:15.718,40.5209,77.7433,10.0,,"133 km WNW of Tumxuk, China"
2023-11-07 19:34:18.347,40.45,77.9153,10.0,4.3,"116 km WNW of Tumxuk, China"
2023-11-07 18:52:01.367,40.5112,77.6987,10.0,,"136 km WNW of Tumxuk, China"
2023-11-07 18:31:33.788,40.3761,77.7853,10.0,4.5,"122 km WNW of Tumxuk, China"
2023-11-07 18:31:21.967,40.575,77.8629,,4.3,"128 km NW of Tumxuk, China"
2023-11-07 18:15:05.384,40.5227,77.8418,10.0,4.8,"126 km NW of Tumxuk, China"
2023-11-07 18:09:48.669,40.5253,77.7107,7.204,5.3,"Xinjiang Uygur, China"
2023-11-06 05:42:49.942,38.8,75.2646,,4.6,"97 km SW of Kashgar, China"
2023-11-04 19:55:33.972,37.6155,73.9605,10.0,4.6,"61 km S of Murghob, Tajikistan"
2023-11-01 22:44:01.935,37.3894,74.5584,53.734,4.5,"101 km SSE of Murghob, Tajikistan"
2023-10-31 22:26:21.090,37.4823,74.5228,68.478,4.1,"90 km SSE of Murghob, Tajikistan"
2023-10-31 19:56:12.143,37.4095,74.7217,11.059,4.4,"107 km SE of Murghob, Tajikistan"
2023-10-31 19:54:27.109,37.4538,74.6496,12.677,4.1,"99 km SE of Murghob, Tajikistan"
2023-10-31 09:19:12.427,37.1972,74.6137,,4.8,"97 km N of Barishal, Pakistan"
2023-10-31 09:19:03.050,37.226,74.6008,10.0,4.5,"100 km N of Barishal, Pakistan"
2023-10-31 00:40:30.322,37.381,74.5637,12.149,,"102 km SSE of Murghob, Tajikistan"
2023-10-30 20:46:10.967,38.1511,74.1286,171.598,4.2,"14 km E of Murghob, Tajikistan"
2023-10-28 11:23:08.509,37.3853,73.088,65.278,4.5,"83 km NE of Khandūd, Afghanistan"
2023-10-25 19:39:10.749,37.3084,71.8833,136.201,,"35 km SE of Khorugh, Tajikistan"
2023-10-25 10:49:05.923,39.1623,71.5977,8.718,4.4,"10 km SE of Karakenja, Tajikistan"
2023-10-18 21:32:06.103,38.9512,71.571,,4.4,"31 km S of Karakenja, Tajikistan"
2023-10-14 07:13:08.554,37.7912,73.9645,62.596,4.1,"42 km S of Murghob, Tajikistan"
2023-10-13 17:24:32.658,43.1756,69.9642,10.0,4.3,"4 km ENE of Bayzhansay, Kazakhstan"
2023-10-13 10:15:37.265,37.7962,73.9128,10.0,4.6,"41 km S of Murghob, Tajikistan"
2023-10-12 08:54:38.335,37.6551,74.0165,,,"57 km S of Murghob, Tajikistan"
2023-10-11 04:23:07.392,37.6614,74.0037,10.0,4.2,"56 km S of Murghob, Tajikistan"
2023-10-08 06:15:08.913,37.9015,73.8079,11.429,,"32 km SSW of Murghob, Tajikistan"
2023-10-05 15:29:01.653,37.6849,75.2766,,4.4,"118 km W of Damusi, China"
2023-10-03 13:20:51.362,38.7152,71.7468,,4.5,"60 km SSE of Karakenja, Tajikistan"
